amfi_code,beta,alpha
119598,-0.023196062044059707,0.3033696538698332
149324,0.011455159960520708,0.3005787817097677
120505,0.0005490042506317283,0.2926358334175106
148569,0.01813388408385924,0.2827036785246582
120843,-0.022829569792426545,0.27330465038306057
100033,0.0051035258305283,0.2719535450128533
148567,0.023683558075848606,0.2698375144191807
149323,-0.0025230046646992346,0.26598577542043045
119094,-0.06626542862803757,0.2607666908004223
119551,-0.03175144113890974,0.23201007160635082
118632,-0.00835383212696202,0.21829397904608644
101206,0.02108631625012805,0.21399784776051212
120504,0.01623216976141703,0.2119482701352573
148568,-0.026387719943843004,0.20873010086942337
119552,-0.026159307513513398,0.1986859936686296
125497,0.048820404259577385,0.17729754927531766
120503,-0.04026895236982061,0.17703302365844073
118634,0.10349663691337592,0.1750072167561127
102885,-0.019486785689474546,0.17048756803412696
120506,0.041896462728119754,0.1625385327998104
102887,0.016682689437770803,0.16211256794033255
118633,-0.03663900671860935,0.15643835948169668
118635,-0.0014335213897801293,0.1513635464823924
149322,-0.004050271130006511,0.13173190226099432
120841,0.0363563990221998,0.13042924450705445
125498,0.00905441262173916,0.11989100971217971
101207,-0.06528924788351526,0.10897091901704538
119093,0.02588321244009315,0.08232801295222093
120842,0.018056874208118173,0.0780443887615508
119092,0.009730745001153639,0.0689952982167755
120507,-0.0004440926329707229,0.06746210411099539
120844,-0.00040074423947840073,0.06455677495375998
101208,0.00026670968338238303,0.060861457957871144
119120,-0.006413850728276473,0.05620895216638369
118636,0.0012566742731558512,0.05074772999976104
119599,0.062001804382671694,0.048824215945539845
119095,-0.06695117463929198,0.04801595363775955
100025,0.0011582183155281404,0.042817920315060876
100016,-0.05826843143880891,0.03747580763443281
102886,-0.04212502902189432,0.028969397866379445
